Question,Category
How many years does this animal live?,1
Tell me the biggest country in the world,1
Develop a SQA Plan for a software development project which is defined in the attached document.,6
Create a story from just the title before the story is read (pre-story exercise),5
Restructure the roles of the main characters to create new outcomes in the story.,6
Recite the the Gaussian law,1
What are the major products and exports of countries,1
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",4
Compare and contrast the beliefs of W.E.B. DuBois and Booker T. Washington,3
Write a set of rules to prevent what happened in the story.,6
Combine any two sports to develop a new Olympic sport.,6
Draw a painting that uses various principles of perspective to achieve its effect.,6
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",5
Describe 4 types of coupling in software design.,2
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",4
Apply the storytelling technique here to a little story of your own.,3
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",4
when did the first saudi radio station open,1
"Can you distinguish between grizzy bear,polar bear and panda?",4
Create an original character and tell how the character would fit into the story,5
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,6
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",5
Compose an original work which incorporates five common materials in sculpture.,6
Assess the appropriateness of an author's conclusions based on the evidence given,5
Find the errors in the following math problem,5 
Compare and contrast two characters in the book.,4
 Outline your experience in working with service users,2
What is the purpose of new keyword,1
State in your own words what the author means when he says,2
Can you develop a proposal which would pass law against alcohol consumption?,6
Create a poster to advertise the story so people will want to read it,6
Name 5 steps that follow the taking of notes (within 24 hours or less)?,1
 How do we differentiate between an interview and an interrogation?,4
Compare Calliope with Howie. Use the word bank.,2
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,3
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,5
Identify the part of a eukaryotic cell.,1
Solve given problem using appropriate algorithm,2
Can you differentiate between ethnic Chinese and ethnic Koreans,4
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",6
Create a poster to advertise the story so people will want to read it,5
Create a new product related to the story,6
Compare two of the characters in this book.,4
Make a paper-mache map to include relevant information about an event.,3
Define four types of traceability.,1
Can you solve the following problem ,3
Explain the whole method of crushing,2
Define the meaning of the Olympic Motto.,1
How effective are facebook ads?,5
Select the best proposal for a proposed water treatment plant.,5
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,3
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",5
Write a poem about this book.,6
How would you show your understanding of the ABC process,3
How many kilometers from your home to the university,1
Compose a rhythm or put new words to a known melody.,6
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",4
Develop a network based on the following information: Activity Immediate predecessors,6
Compare and/or contrast two of the main characters,4
What would happen if the rainfall doubled in your state next year,3
What do you think is the mass and why,5
Recite a policy of immigration in Europe .,1
Examine the significance of decentralisation,4
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,3
Construct the Data Path of the RISC Processor given in the previous question ,3
Investigate the assasination of John F kennedy,4
Choose and illustrate the two most important events in the story.,5
Model an Olympic Village for the new Millenium.,3
What questions would you ask if you ever meet Donald Trump?,3
Recall basic math facts,1
What approach would you use to prove the truth of the below statement ,3
how the investigation was undertaken,4
Develop and execute a program for this exercise,6
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",4
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,5
"In your own words, how would you summarize the story up ",2
Use your imagination to draw a picture about the story.,6
Which of the two liquids is hypotonic ,1
Recall the following pictoral example of an implementation of some queue operations,1
Explain in your own words what do you mean by the term economics?,2
Contrast the Valles Marineris on Mars with the Grand Canyon,4
How would you differentiate a project from a program,4
Can you find four different feelings Pa Lia had during the story?,4
How many loop statement available in c++?,1
Contrast building in the coastal zone with building in a river floodplain.,4
which part of a data packet is used by a router to determine the destination network,1
"Define stream bank, floodplain and substrate.",1
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",2
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",2
Describe what happened at the jallianwala bagh massacre?,2
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",6
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",6
Declare a variable-employee to represent the record,2
Describe how Phillip and Timothy survived on the Cay.,2
Revise the story and specify the type of audience that would enjoy this book.,5
Construct a Venn diagram to determine the validity of the given argument.,3
Formulate N Queens problem,6
Create and perform a play about frogs.,6
Select the best title for a passage,2
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",5
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,4
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,3
Investigate (pointwise) convergence and absolute convergence of the given series of functions,4
How do teenagers use code in emails and instant messages?,3
Decide which method of solving a problem was most effective ,5
What is the setting of To Kill a Mockingbird?,1
What happened after that night,1
 Examine the differences between the model excluding the most influential observation and the model including all observations.,4
Develop a hypothesis.,6
Measure diamensions of the floor and Recommend carpet size,5
Construct the 4-Bit Ripple carry Adder Circuit,3
What do you think is the best thing about coming to Viestal?,5
 Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,3
Evaluate appropriate and inappropriate actions of characters.,5
What ideas can you add to...?,6
How Do You Think One Should Reason in Making Ethical Decisions in Business,5
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,6
Name the property that states that,1
Construct a model to demonstrate how it will work.,3
How could you re-write this story with a city setting?,6
Discuss the nature of socialism.,2
"Show, through role-play, the final scene in the novel.",3
Explain the possible uses described in class for the space to the left of the vertical line.,2
Summarize this magazine article.,2
Use your imagination to draw a picture about the story,5
"Rewrite the sentence in your head, following the direction given below",2
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,6
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",2
Tell in your own words the beginning of the book.,2
What are the units of corrosion penetration rates? Relate these to Faraday's law,1
Compare three celebrations using a Venn diagram.,4
Analyze the characteristics of frogs.,4
How would the U.S.A. be different if the South had won the Civil War?,6
Correctly label the brain lobes indicated on the diagram below,1
Write three new titles for the story that would give a good idea what it was about,6
Identify general characteristics (stated and/or implied) of the main characters,4
Relate the following game with real life scenario,4
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,6
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,2
How would you differentiate between heterodox and mainstream,4
Justify the title To Kill a Mockingbird .,5
From a blueprint to describe the article depicted.,2
recall the supply voltage constraints,1
How would you restructure the school day to reflect children's developmental needs?,6
What can I do to investigate this problem further,4
Recall the equation for the Ideal Gas Law.,1
What might happen if you combined...?,6
 How can we combine and abstract facts about a software system to create new knowledge?,6
Create a new product related to the story,5
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,3
Debate on plastic ban,5
Distinguish between abstract date types (ADTs) and implementations of ADTs,4
What does ICT stands for.,1
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",6
Explain and justify a new budget.,5
"Divide the story into initiating event, rising action, climax, and falling action",4
Revise and process to improve the outcome.,6
Identify supporting evidence to support the interpretation of a literary passage,4
Specify a deterministic finite automaton (DFA) recognizing the,3
Identify fractions from a pictorial representation,1
who was the first man on the moon,1
What would you predict/infer from...?,6
List the steps involved in titration.,1
Critique the actions of Jaish-e-Mohammad,5
Classify frogs toads and other amphibians.,2
How is scientific progress similar to Darwinian evolution according to Kuhn,4
Find the meaning of given phrase,1
Identify the five major prophets of the Old Testament.,1
"Create a new song for the opening line of ""Mary had a little lamb"".",6
Compare this book to the last book you read.,4
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",5
Explain in your own words what a recessive gene is.,2
Choose a character. Rewrite a scene from the story from this character's point of view.,6
Who was the writer of the Hamilton ,1
Predict what happens to X if Y increases.,3
Apply the rule of law to a new situation,3
How to Construct the Optimal Maintenance Problem,3
Draw and label a diagram of a typical stream.,1
Please label the diagram below:,1
Identify a phrase as a simile,1
Decide which course of action was most effective ,5
Identify the flaws in network to solve failure problem,3
Decide whether you learned enough about electricity from this book.,5
Select the most effective solution.,5
Interpret the pictures.,2
Outline the most important insight of the tale.,2
Prepare a book jacket that illustrates the kind of book as well as the story.,6
Would you have liked to have had Cinderella for a sister? Explain why or why not.,5
Estimate expenditure on HIV/AIDS education,5
Compose and perform a dialogue or monologue that will communicate the thoughts of the main character(s) at a given point in the story,5
What happens if you change the direction of the displacement (but not its size)?,3
Write a letter to the editor on a social issue of concern to you.,6
Tell in your own words how the setting of the story made it more interesting.,2
Make a diorama to illustrate an important event.,3
Determine the expansion of the universe,5
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",2
 Label the parts of the microscope shown on the right,1
Can you apply the method used to some experience of your own to get us out of this situation?,3
"Given the data available on a research question, take a position and defend it.",5
If you had access to all resources how would you deal with a hard drive that has not been formatted?,6
Critique an experimental design or a research proposal.,5
What criteria would you use to assess the validity of a business contract?,5
Compare and contrast the waterfall model with the prototyping model.,4
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,6
Inspect the pattern of GPS positions relative to the “known” published value,4
Distinguish between micro and macro economics.,4
Judge aesthetic qualities and relationship to future values.,5
Show how E-CRM can be used to improve marketing positioning as explained in the article,3
Solve a math problem using familiar procedure or formula,3
Explain in your own words what is meant by mercantilism.,2
Judge the value of crossword clue?,5
Express the rule in function notation,2
Invent a machine to do a specific task.,6
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,3
Identify ordinal positions,1
Compare how different children come to school.,4
Draw a picture of the bears' house.,3
If you had access to all resources how would you deal with ethical questions?,6
Draw a picture of the gown Cinderella wore to the ball.,3
Draw the basic outline of a page of notes using the Cornell Method?,1
What would happen if you win a lottery?,6
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,2
Do you think that this statement conveys the idea that i am trying to portray,5
What is part of this book did you like best. Tell why you like it?,5
Can you defend your position about thanos in avengers?,5
What are the structure or functions of Congress,1
What is the title of the first movie you saw ,1
Decide which candidate would best fill the position of principal.,5
Devise a new economic system based on the ones that already exist.,6
Name one character. Rewrite the story from this character's point of view.,6
Can you analyze the fractures and determine which should be repaired surgically,4
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",4
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,6
Design a poster for this book.,6
Express your opinion of 'Drugs in Sport' through poetry.,2
Integrate training from several sources to solve a problem.,6
Describe how the linear polarization method can yield corrosion rates,2
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",2
Name the main characters in the story.,1
"If notes are available on the professor’s website, how should those notes be used?",3
Differentiate between RAM and ROM,4
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",5
Explain what a poem means.,2
Compose a complete C program that reads text strings from a text file into a suitable data,6
State how to find a word in a dictionary,1
Distinguish between method overloading and method overriding,3
Compute the volume of a cylinder,3
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",6
In what ways are foxes similar to wolves and dogs,4
Justify your choice of data structure.,6
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process? ",4
What do you think are the strengths of using integrated math in your program?,5
"In your own words, how would you define transferable skills",2
How is map similar to globe?,4
what approach you would use to solve this problem,2
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,5
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,2
Can you compare your personality with that presented in your resume?,4
Describe in your own words what is meant by a sprained ankle.,2
How much water does an elephant drink,1
How much is your weight,1
Design a building according to given specifications,6
Can you state in your own words what the problem is asking you to do,2
How to construct the selected information system,3
Write a logically organized argument in favor of a given position.,6
Infer the outcomes of World War 2,4
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",5
State four attributes of well engineered software.,1
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,4
Analyze the movements and sounds of a frog.,4
Define compound interest.,1
Describe nuclear transport to a lay person.,2
"Evaluate a work of art, giving the reasons for your evaluation.",5
Distinguish what could happen from what couldn't happen in the story in real life,4
Do you think swearing is a good or a bad thing?,5
How does one specify the syntactical restrictions,3
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,3
Express the following percentages as fractions in simplest form,2
Use tableau methods to prove that the following tableau is valid.,3
List the characteristics peculiar to the Cubist movement.,1
Justify Archimides Principle,5
Are there students who should not use the Cornell method?,5
What is the biggest city in Japan,1
Show me how you would check the brake lights are working on this car,3
Are you a illiterate person?,5
Define the purpose of constructor,1
Analyze an oscillator circuit and determine the frequency of oscillation,4
in which continent does the state of suriname fall,1
Compare herbatious and carnivorous animals on a Venn diagram.,4
About what proportion of the population of the US is living on farms?,1
Critically examine the strengths and weaknesses of the positivist paradigm,4
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,2
Define mercantilism.,1
How does an endorsement differ from a teaching certificate,4
List four types of clauses mentioned in the article,1
How many states are there in USA,1
Who wrote War and Peace,1
Identify the correct definition of osmosis.,1
List the levels in Bloom's Taxonomy.,1
Appraise data in support of a hypothesis.,5
 How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,4
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,6
Can you invent another character for the story?,6
Can you create new and unusual uses of bubblegums?,6
Plan a research paper on a given historical topic,6
How to construct simple solutions when problems are complex?,3
List the arithmetic operators in increasing order of precedence,1
Apply shading to produce depth in drawing.,3
State the rule for using a semicolon in a sentence.,1
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,6
" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",4
List reserved words in C programming.,1
Identify the standard peripheral components of a computer.,1
Summarize Jem’s beliefs about Boo Radley,2
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,3
How would you investigate this abnormality,4
Express the following systems in matrix form,2
How was this similar to past experience?,4
Which of the following actions would probably be least effective in determining the answer? ,5
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,5
How many instructions in the instruction set of RISC computer?,1
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),1
Summarize the basic tenets of deconstructionism.,2
Predict what will happen next in Game of Thrones.,5
Outline the aim of two studies within this project,2
Contrast Olympic athletes of today with athletes of past Olympic games.,4
Translate an equation into a computer spreadsheet.,2
Draw the flow chart of the PNK system,1
Apply your understanding the Olympic spirit to develop a new motto or slogan.,3
Assess the importance of understanding seasonal patters.,5
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",5
"If your story happened in a foreign land, compare that land to the United States.",4
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,6
Devise plans to market or make artwork more valuable.,6
Create an original character and tell how the character would fit into the story,6
in which countries is arabic language spoken,1
Justify and nominate ways to prevent animal extinction.,5
Translate a written text aloud from L2 to English.,2
How to inspect and maintain fresh water plumbing systems properly,4
State the characteristics of each type of corrosion testing studied,1
What season are we in right now?,1
 Estimate the risk of serious illness for consumers in different susceptible population groups,5
Is there a better solution to the current probation system ?,5
 Examine carefully the given map extract on the following page to help you work out the exercise below.,4
Briefly describe the author's approach to the liabilities of the GOTO statement,2
Create a storyboard for a sequel to your book. Use the same characters.,6
What changes to project would you recommend?,5
Conduct an investigation to produce information to support a view.,4
"How can we construct H given I, B and E?",3
Relate the principle of reinforcement to classroom interactions.,3
Create plan of local environment by drawing around boxes.,6
Write three new titles for the story that would give a good idea what it was about,5
Restate main idea of story in own words.,2
Do you devise a systematic approach in order to get larger progressions,6
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,5
Specify the thickness of a galvanized coating based on atmospheric data?,3
Analyze safe and dangerous aspects of these features.,4
Use a manual to calculate an employee's vacation time.,3
How to combine virtual symmetry and symbolic model checking effectively,6
Look at the symbol. What is the symbol’s purpose on a map?,1
Compare fall and spring,4
"There are 4 birds,one shot, one flew.How many are there on the branch?",4
Outline how class booklist is implemented using array,3
Construct a poster that will advertise your new food product in an exciting and irresistible way.,5
in what ways trajectory patterns differ according to ABC,4
Restructure the roles of the main characters to create new outcomes in the story,5
Create a chart that compares things that use electricity and things that do NOT use electricity.,6
How did Chinese newspapers differ from US,4
How much did he pay for his car,1
Describe what goes in each of the four areas on the first page of notes,2
Categorize given variables into aprropriate data types,3
Design a new animal to live in the jungle.,6
In Which part of the world does he live ,1
Why the Ostrich can't fly?,1
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",4
Write the lyrics and music to a song that one of the main characters would sing if he/she/it became a rock star and perform it,6
Describe what took place as the Hato was sinking.,2
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",5
Relate topographic map to field features,3
Estimate the difficulty of the question,5
Complete an analogy (analogy tasks are inference tasks),2
Demonstrate how this could work in an industry setting?,3
Derive a kinetic model from experimental data.,3
When were you born ?,1
Restate the Olympic motto in your own words.,2
" Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",4
"In your own words, tell what is meant by the definition of an isosceles triangle.",2
Sketch a typical absorption process in a packed column with regeneration in form of,3
Develop a new algorithm for adaptive multidimensional integration,6 
Categorise the pictures and add them to the wall display.,3
"Using information from the book about one of the main characters, rewrite the ending of the book.",6
Apply laws of statistics to evaluate the reliability of a written test.,3
Classify celebrations into family and community categories.,2
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,3
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,5
How much data can be stored in the cach memory,1
Describe an experiment to answer the question of the effects of weight on the fall of an object.,3
In what ways do female offenders differ from male offenders,4
Translate the following passage from The Iliad into English.,2
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,3
Would you solve these two problems using similar approaches,3
Rewrite you predicted equation for the ideal gas law,2
Describe the state pattern,1
Determine the author’s point of view,2
How might lifestyles in the United States be modified if a more socialistic system were adopted?,3
Evaluate a work of art using appropriate terminology,5
judge the difficulty level for yourself.,5
Construct a market strategy for your product using a known strategy as a model.,3
Do you agree with the above statement?,5
Write the lyrics and music to a song that one of the main characters would sing if he/she/it became a rock star and perform it,5
Tell how Phillip kept himself alive after Timothy died.,2
Apply the rule of 70 to determine how quickly your money will double at 6% interest,3
Classify given words into appropriate types,2
Summarize the basic tenets of collaborative conservation.,2
"Recite the poem ""Auto Wreck"".",1
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,5
Establish criteria for making this choice and defend your final selection.,5
suggest ways in which it could have responded more effectively,5
 Estimate the epicentral coordinates of the earth-quake,5
who was the first to compose in the arts of makamat,1
List three predominant economic systems that exist,1
What is the most important person in your life?,5
Can you see a possible solution to demonetization ?,6
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,3
Select the athlete of the century and analyze why you chose this person.,4
Select the best proposal for a proposed water treatment plant,5
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",2
Judge the psychology of a serial killer,5
How would this story be different if it had happened in a different country?,4
Why not compose a song about depression?,6
Draw the block diagram of the central processing unit ,1
Use the rule for a semicolon in a sentence.,3
"Develop a way to teach the concept of ""adjectives"".",6
Differentiate static polymorphism from dyanamic polymorphism,3
Compare and contrast the major assumptions underlying psychoanalytic and humanistic approaches to psychology,4 
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,6
Determine if a character’s actions were heroic ,5
Illustrate the working of DC motot,2
Determine the next number in a sequence,2
Show the value of x after running this program fragment,3
Choose a paint schedule for the maintenance of an outdoor structure? (level 2) ,5
Organize this book into three or more sections and give your own subtitle for each section.,6
Analyze each statement to decide whether it is fact or opinion,3
Rewrite the principles of test writing.,2
Describe in your own words how to copy text from one program into another.,2
Assess the appropriateness of an author's conclusions based on the evidence given.,5
Demonstrate how the seasons occur.,3
Devise a new strategy for Twitter,6
What are the representational symbols on maps and charts,1
In one sentence illustrate the main point of a written passage.,2
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",3
Name the artist who painted the Mona Lisa.,1
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,3
State the formula for the area of a circle,1
Compose a song on IPL.,6
How does public health reporting differ today from reporting two years before,4
Classify types of corrosion inhibitors  ,2
How do you think the community should grow or change,5
"There are 5 biscuits,aman ate 2.How many left?",4
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,5
Participate in a mock election,3
Who can use what we know about sonnets and finish this poem?,3
What is a global variable?,1
Create a story from just the title before the story is read (pre-story exercise),6
Explain in one's own words how to create a query in a database.,2
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,4
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,3
Name the types of inheritence,1
Imagine that you are the main character. Write a diary account of daily thoughts and activities,6
Paraphrase the poem in your own words,2
How many ounces in a pound,1
Explain how Timothy saved Phillip's life.,2
Predict the differences of a planet with no seasonal changes.,6
design a cost effective strategy to generate reliable data.,6
What do you think about bloom's taxonomy?,5
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,5
Predict the outcome of a nuclear war,6
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,3
Compare the place where the story happened with where you live.,4
Imagine that you are the main character. Write a diary account of daily thoughts and activities,5
Differentiate fact from opinion,4
Revises and process to improve the outcome.,6
